user_id,day,login_hour,files_accessed,data_transfer_mb,failed_logins,after_hours_access,usb_events,email_recipients_count,login_hour_dev,files_accessed_dev,data_transfer_mb_dev,failed_logins_dev,after_hours_access_dev,usb_events_dev,email_recipients_count_dev
U000,1,9,37,99.03,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U000,2,9,47,81.52,0,0,0,9,0.0,10.0,-17.51,0.0,0.0,0.0,-4.0
U000,3,8,34,75.37,0,0,0,11,-1.0,-1.1314,-1.2038,0.0,0.0,0.0,0.0
U000,4,9,43,126.26,0,0,0,11,0.5773,0.5387,3.336,0.0,0.0,0.0,0.0
U000,5,9,36,81.23,0,0,0,13,0.5,-0.7262,-0.6279,0.0,0.0,0.0,1.2247
U000,6,9,42,71.77,0,0,0,12,0.4472,0.4803,-1.0075,0.0,0.0,0.0,0.3586
U000,7,10,40,88.15,0,0,0,10,2.8577,0.0336,-0.0512,0.0,0.0,0.0,-0.9891
U000,8,8,31,73.69,1,0,1,10,-1.732,-1.9574,-0.8231,1.0,0.0,1.0,-0.8594
U000,9,10,46,102.54,0,0,0,11,1.7554,1.3861,0.8512,-0.3536,0.0,-0.3536,-0.0857
U000,10,9,46,82.97,0,0,0,10,0.0,1.181,-0.3317,-0.3333,0.0,-0.3333,-0.8145
U000,11,10,41,75.01,0,0,0,10,1.5,0.1446,-0.7887,-0.3162,0.0,-0.3162,-0.75
U000,12,9,51,52.48,0,0,0,11,-0.1297,2.0412,-2.1052,-0.3015,0.0,-0.3015,0.0699
U000,13,8,47,102.67,0,0,0,10,-1.6204,0.9903,0.9965,-0.2887,0.0,-0.2887,-0.7392
U000,14,9,34,102.84,1,0,0,11,0.0,-1.298,0.9322,3.3282,0.0,-0.2773,0.1267
U000,15,10,40,85.39,0,0,0,11,1.472,-0.1788,-0.0781,-0.3934,0.0,-0.2673,0.1224
U000,16,9,40,89.87,0,0,0,10,-0.0947,-0.173,0.1775,-0.3789,0.0,-0.2582,-0.7701
U000,17,9,37,92.86,0,0,2,7,-0.0919,-0.7042,0.3467,-0.366,0.0,7.75,-3.4388
U000,18,8,38,90.66,0,0,1,14,-1.6076,-0.4922,0.2036,-0.3542,0.0,1.558,2.4081
U000,19,9,28,106.08,0,0,0,11,0.0,-2.3376,1.1521,-0.3436,0.0,-0.4053,0.1395
U000,20,10,50,77.25,1,0,0,10,1.5,1.695,-0.6877,2.8377,0.0,-0.3933,-0.5099
U000,21,9,34,67.71,0,0,0,10,-0.0729,-1.0277,-1.2578,-0.4094,0.0,-0.3823,-0.4943
U000,22,10,37,84.27,0,0,0,9,1.4235,-0.497,-0.1633,-0.3984,0.0,-0.3722,-1.152
U000,23,10,28,93.04,0,0,0,12,1.3295,-1.9553,0.3934,-0.3882,0.0,-0.3629,0.9106
U000,24,8,48,108.31,1,0,0,9,-1.6279,1.3233,1.366,2.5252,0.0,-0.3542,-1.1377
U000,25,9,40,93.97,0,0,0,9,-0.1162,0.0317,0.3803,-0.4378,0.0,-0.3461,-1.0846
U000,26,10,49,100.26,0,0,0,9,1.3098,1.431,0.7769,-0.4276,0.0,-0.3386,-1.0385
U000,27,10,42,101.51,0,0,0,13,1.2434,0.2817,0.8346,-0.4181,0.0,-0.3315,1.663
U000,28,10,36,107.03,0,0,0,11,1.1863,-0.6561,1.1697,-0.4092,0.0,-0.3249,0.2627
U000,29,10,31,74.54,1,0,1,11,1.1364,-1.4252,-0.9902,2.4053,0.0,1.9116,0.2578
U000,30,9,38,77.73,1,0,0,8,-0.285,-0.2717,-0.7494,2.1528,0.0,-0.3682,-1.7495
U000,31,10,39,98.77,0,0,1,13,1.1198,-0.1099,0.6493,-0.4916,0.0,1.8071,1.5938
U000,32,10,39,102.23,0,0,0,12,1.0532,-0.1207,0.8771,-0.4916,0.0,-0.413,0.9476
U000,33,9,43,97.14,1,0,0,16,-0.3605,0.5643,0.4939,1.9664,0.0,-0.413,3.48
U000,34,9,40,73.38,0,0,0,8,-0.4272,0.0326,-1.1122,-0.5424,0.0,-0.413,-1.5326
U000,35,11,23,99.57,0,1,0,7,2.4209,-2.7311,0.7966,-0.5424,1.0,-0.413,-1.951
U000,36,9,35,112.03,0,0,0,10,-0.4794,-0.6268,1.6416,-0.5424,-0.1826,-0.413,-0.255
U000,37,9,33,120.34,0,0,0,11,-0.4794,-0.8833,2.1095,-0.5424,-0.1826,-0.413,0.2918
U000,38,10,33,83.47,0,1,1,7,0.8794,-0.8387,-0.532,-0.5424,5.2946,1.6521,-1.7843
U000,39,9,52,85.04,0,0,0,10,-0.5525,1.9182,-0.4589,-0.4916,-0.2628,-0.413,-0.1795
U000,40,8,46,120.03,0,0,0,12,-1.9024,0.9706,1.9452,-0.4916,-0.2628,-0.413,0.8171
U000,41,9,54,89.52,0,0,0,9,-0.4397,2.0905,-0.1922,-0.4916,-0.2628,-0.413,-0.6792
U000,42,10,26,83.53,0,0,0,10,0.9337,-1.7666,-0.6211,-0.4916,-0.2628,-0.413,-0.1766
U000,43,9,46,86.91,0,0,0,10,-0.4397,0.9515,-0.5342,-0.4916,-0.2628,-0.413,-0.1608
U000,44,10,28,120.19,1,0,1,7,0.8816,-1.386,2.0069,1.9664,-0.2628,1.6521,-1.6077
U000,45,9,33,86.83,1,1,0,9,-0.5525,-0.6902,-0.5159,1.9664,3.6788,-0.463,-0.5566
U000,46,9,35,103.36,1,0,0,12,-0.5104,-0.4036,0.657,1.7822,-0.3277,-0.463,0.8637
U000,47,9,34,100.44,2,0,0,11,-0.5104,-0.5079,0.4148,3.8538,-0.3277,-0.463,0.3657
U000,48,9,48,111.92,1,0,1,9,-0.5104,1.2625,1.2071,1.2195,-0.3277,2.1985,-0.633
