user_id,day,login_hour,files_accessed,data_transfer_mb,failed_logins,after_hours_access,usb_events,email_recipients_count
U000,1,9,37,99.03,0,0,0,13
U000,2,9,47,81.52,0,0,0,9
U000,3,8,34,75.37,0,0,0,11
U000,4,9,43,126.26,0,0,0,11
U000,5,9,36,81.23,0,0,0,13
U000,6,9,42,71.77,0,0,0,12
U000,7,10,40,88.15,0,0,0,10
U000,8,8,31,73.69,1,0,1,10
U000,9,10,46,102.54,0,0,0,11
U000,10,9,46,82.97,0,0,0,10
U000,11,10,41,75.01,0,0,0,10
U000,12,9,51,52.48,0,0,0,11
U000,13,8,47,102.67,0,0,0,10
U000,14,9,34,102.84,1,0,0,11
U000,15,10,40,85.39,0,0,0,11
U000,16,9,40,89.87,0,0,0,10
U000,17,9,37,92.86,0,0,2,7
U000,18,8,38,90.66,0,0,1,14
U000,19,9,28,106.08,0,0,0,11
U000,20,10,50,77.25,1,0,0,10
U000,21,9,34,67.71,0,0,0,10
U000,22,10,37,84.27,0,0,0,9
U000,23,10,28,93.04,0,0,0,12
U000,24,8,48,108.31,1,0,0,9
U000,25,9,40,93.97,0,0,0,9
U000,26,10,49,100.26,0,0,0,9
U000,27,10,42,101.51,0,0,0,13
U000,28,10,36,107.03,0,0,0,11
U000,29,10,31,74.54,1,0,1,11
U000,30,9,38,77.73,1,0,0,8
U000,31,10,39,98.77,0,0,1,13
U000,32,10,39,102.23,0,0,0,12
U000,33,9,43,97.14,1,0,0,16
U000,34,9,40,73.38,0,0,0,8
U000,35,11,23,99.57,0,1,0,7
U000,36,9,35,112.03,0,0,0,10
U000,37,9,33,120.34,0,0,0,11
U000,38,10,33,83.47,0,1,1,7
U000,39,9,52,85.04,0,0,0,10
U000,40,8,46,120.03,0,0,0,12
U000,41,9,54,89.52,0,0,0,9
U000,42,10,26,83.53,0,0,0,10
U000,43,9,46,86.91,0,0,0,10
U000,44,10,28,120.19,1,0,1,7
U000,45,9,33,86.83,1,1,0,9
U000,46,9,35,103.36,1,0,0,12
U000,47,9,34,100.44,2,0,0,11
U000,48,9,48,111.92,1,0,1,9
U000,49,9,46,86.39,0,0,0,11
U000,50,9,37,91.18,0,0,0,11
U000,51,10,28,100.78,1,0,0,11
U000,52,9,33,103.69,0,0,0,10
U000,53,10,50,83.62,1,0,0,10
U000,54,8,26,79.56,1,0,0,10
U000,55,9,38,80.08,0,0,0,10
U000,56,9,51,88.25,0,0,0,11
U000,57,9,46,96.55,0,0,0,10
U000,58,11,32,102.23,0,0,1,10
U000,59,11,31,77.83,0,0,0,9
U000,60,8,41,97.94,0,0,0,12
U001,1,7,34,38.26,3,0,0,6
U001,2,9,19,25.68,0,0,0,9
U001,3,8,20,15.59,0,0,1,10
U001,4,9,10,0.5,0,0,0,12
U001,5,8,32,24.21,1,0,0,12
U001,6,9,30,8.42,0,1,0,10
U001,7,7,31,34.18,0,0,0,7
U001,8,10,8,0.0,0,0,0,8
U001,9,9,8,20.14,0,0,0,7
U001,10,9,12,14.7,2,0,0,4
U001,11,8,16,10.5,0,0,0,6
U001,12,8,10,49.19,0,0,0,8
U001,13,9,14,11.6,0,0,0,10
U001,14,7,30,44.74,0,0,0,7
U001,15,8,27,8.32,0,0,0,8
