user_id,risk_score
U003,77.1
U017,65.1
U031,58.7
U029,37.6
U009,34.7
U019,31.2
U024,30.9
U027,30.8
U021,28.6
U037,26.9
U020,26.5
U004,26.2
U047,25.9
U018,25.6
U046,24.4
U016,23.5
U042,22.3
U022,22.2
U041,22.0
U002,20.1
U044,18.7
U039,17.9
U014,17.8
U035,17.8
U007,17.7
U048,17.0
U043,16.9
U023,16.6
U015,15.9
U006,15.8
U038,15.6
U032,15.1
U010,13.8
U034,13.7
U000,13.5
U012,13.1
U011,12.8
U005,12.4
U036,12.4
U028,11.2
U013,11.0
U045,11.0
U025,10.3
U026,9.8
U030,8.9
U049,8.9
U040,8.2
U008,7.8
U033,7.6
U001,6.8
